a_0,3
a_1,1
a_2,5
a_3,-3
a_4,13
a_5,-19
a_6,45
a_7,-83
a_8,173
a_9,-339
a_10,685
a_11,-1363
a_12,2733
a_13,-5459
a_14,10925
a_15,-21843
a_16,43693
a_17,-87379
a_18,174765
a_19,-349523
a_20,699053
a_21,-1398099
a_22,2796205
a_23,-5592403
a_24,11184813
a_25,-22369619
a_26,44739245
a_27,-89478483
a_28,178956973
a_29,-357913939
a_30,715827885
a_31,-1431655763
a_32,2863311533
a_33,-5726623059
a_34,11453246125
a_35,-22906492243
a_36,45812984493
a_37,-91625968979
a_38,183251937965
a_39,-366503875923
a_40,733007751853
a_41,-1466015503699
a_42,2932031007405
a_43,-5864062014803
a_44,11728124029613
a_45,-23456248059219
a_46,46912496118445
a_47,-93824992236883
a_48,187649984473773
a_49,-375299968947539
